Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9907598744317798,0.9904033199325639,0.9891942682640357,0.9933946685539042,0.9912900188323918
Logistic Regression,0.9851185711831825,0.9844378161068603,0.979958051736192,0.9919792403868837,0.9859320046893317
Random Forest,0.9809363645977681,0.9793801063415899,0.96767537826685,0.9957537154989384,0.9815137774677363
Multinomial Naive Bayes,0.9452403854341369,0.9385293736220983,0.9436719302380391,0.9445623967916962,0.9441169535486913
